date,description,amount
2025-08-20,TRADER JOES,-62.79
2025-08-20,SHELL GAS STATION,-53.81
2025-08-20,UBER EATS,-89.41
2025-08-21,INTERNET SERVICE PROVIDER,-107.99
2025-08-21,STARBUCKS #691,-13.47
2025-08-22,TRADER JOES,-76.83
2025-08-22,BEST BUY ELECTRONICS,-207.14
2025-08-22,HIGH-END FURNITURE SET,-2700.0
2025-08-23,WATER & SEWER UTILITY,-66.83
2025-08-23,APP STORE CHARGE,-6.74
2025-08-23,DUNKIN DONUTS #432,-10.77
2025-08-23,CHIPOTLE MEXICAN #494,-34.52
2025-08-23,CHIPOTLE MEXICAN #649,-28.12
2025-08-23,SUBWAY SANDWICH,-64.03
2025-08-24,STARBUCKS #529,-17.57
2025-08-24,STARBUCKS #259,-14.69
2025-08-24,STARBUCKS #487,-16.25
2025-08-24,PANERA BREAD #878,-34.79
2025-08-24,WHOLE FOODS MARKET,-101.14
2025-08-24,SHELL GAS STATION,-71.08
2025-08-24,CHEVRON FUEL,-72.18
2025-08-24,INSTACART,-86.2
2025-08-25,DUNKIN DONUTS #864,-9.21
2025-08-25,CHIPOTLE MEXICAN #448,-26.3
2025-08-25,WHOLE FOODS MARKET,-130.6
2025-08-26,PARKING METER,-44.58
2025-08-27,PANERA BREAD #346,-19.38
2025-08-27,CHEVRON FUEL,-59.14
2025-08-28,MYSTERY SUBSCRIPTION,-2.69
2025-08-28,DUNKIN DONUTS #510,-10.47
2025-08-28,PANERA BREAD #303,-21.93
2025-08-29,STARBUCKS #263,-12.88
2025-08-29,STARBUCKS #489,-13.49
2025-08-29,DUNKIN DONUTS #334,-10.34
2025-08-29,MARSHALLS,-114.44
2025-08-30,STARBUCKS #532,-12.67
2025-08-30,DUNKIN DONUTS #771,-11.4
2025-08-30,PANERA BREAD #187,-36.54
2025-08-30,DOMINOS PIZZA,-21.25
2025-08-31,DIGITAL SERVICE FEE,-4.71
2025-08-31,PANERA BREAD #405,-35.51
2025-08-31,PANERA BREAD #951,-35.62
2025-08-31,OPTOMETRIST CLINIC,-364.15
2025-09-01,PANERA BREAD #100,-25.86
2025-09-01,WHOLE FOODS MARKET,-77.46
2025-09-01,WHOLE FOODS MARKET,-154.8
2025-09-03,LANDLORD PAYMENT - RENT,-2025.0
2025-09-03,PROPERTY MANAGEMENT FEE,-101.25
2025-09-03,PAYCHECK - DIRECT DEPOSIT,3200
2025-09-03,DUNKIN DONUTS #915,-8.38
2025-09-03,DUNKIN DONUTS #440,-10.15
2025-09-03,PANERA BREAD #453,-22.76
2025-09-03,PANERA BREAD #651,-25.9
2025-09-03,CVS PHARMACY,-49.65
2025-09-03,LAST-MINUTE TRIP PACKAGE,-1800.0
2025-09-04,STARBUCKS #371,-9.77
2025-09-04,STARBUCKS #949,-12.16
2025-09-04,BOWLING ALLEY,-62.38
2025-09-04,BOWLING ALLEY,-106.68
2025-09-06,STARBUCKS #170,-14.76
2025-09-06,STARBUCKS #209,-12.88
2025-09-06,STARBUCKS #265,-19.8
2025-09-07,NETFLIX SUBSCRIPTION,-21.59
2025-09-07,SPOTIFY PREMIUM,-13.49
2025-09-07,PANERA BREAD #371,-36.75
2025-09-07,CONCERT VENUE TICKETS,-198.3
2025-09-08,DUNKIN DONUTS #205,-7.83
2025-09-08,CHIPOTLE MEXICAN #571,-26.75
2025-09-08,PANERA BREAD #546,-17.52
2025-09-08,WHOLE FOODS MARKET,-128.07
2025-09-08,CHEVRON FUEL,-54.66
2025-09-09,GYM MEMBERSHIP,-67.49
2025-09-09,CHIPOTLE MEXICAN #297,-19.23
2025-09-09,CVS PHARMACY,-45.43
2025-09-09,HOME DEPOT HARDWARE,-159.93
2025-09-09,AMAZON MARKETPLACE,-59.03
2025-09-10,DISNEY+ STREAMING,-10.79
2025-09-10,STARBUCKS #889,-8.57
2025-09-10,CHIPOTLE MEXICAN #210,-26.49
2025-09-10,TRADER JOES,-76.26
2025-09-11,STARBUCKS #234,-10.07
2025-09-11,STARBUCKS #999,-12.33
2025-09-12,HULU SUBSCRIPTION,-20.24
2025-09-12,UBER EATS,-41.4
2025-09-13,DUNKIN DONUTS #995,-13.03
2025-09-13,CHIPOTLE MEXICAN #992,-37.51
2025-09-14,AMAZON PRIME MEMBERSHIP,-28.48
2025-09-14,UNKNOWN APP PURCHASE,-4.04
2025-09-14,CHIPOTLE MEXICAN #581,-27.11
2025-09-15,DUNKIN DONUTS #258,-9.59
2025-09-15,CHIPOTLE MEXICAN #171,-21.64
2025-09-15,PARKING METER,-30.58
2025-09-16,STARBUCKS #202,-14.25
2025-09-16,STARBUCKS #409,-11.65
2025-09-16,SHELL GAS STATION,-65.49
2025-09-17,ELECTRIC COMPANY - MONTHLY,-185.98
2025-09-17,GAS UTILITY BILL,-82.65
2025-09-17,PAYCHECK - DIRECT DEPOSIT,3200
2025-09-17,STARBUCKS #966,-13.72
2025-09-17,CHIPOTLE MEXICAN #963,-25.46
2025-09-17,SHELL GAS STATION,-68.67
2025-09-18,STARBUCKS #667,-12.35
2025-09-18,CHIPOTLE MEXICAN #218,-27.93
2025-09-18,TRADER JOES,-47.28
2025-09-18,TOLL ROAD,-36.19
2025-09-18,MARSHALLS,-197.11
2025-09-18,ARCADE CENTER,-112.77
2025-09-19,STARBUCKS #807,-9.2
2025-09-19,DUNKIN DONUTS #230,-7.35
2025-09-20,INTERNET SERVICE PROVIDER,-107.99
2025-09-20,STARBUCKS #769,-19.85
2025-09-20,STARBUCKS #308,-17.69
2025-09-20,TRADER JOES,-67.57
2025-09-20,SHELL GAS STATION,-55.94
2025-09-21,STARBUCKS #423,-16.47
2025-09-21,LUXURY ELECTRONICS PURCHASE,-3358.79
2025-09-22,WATER & SEWER UTILITY,-57.52
2025-09-22,APP STORE CHARGE,-6.74
2025-09-22,STARBUCKS #423,-10.26
2025-09-22,STARBUCKS #617,-13.41
2025-09-22,PANERA BREAD #854,-26.03
2025-09-22,PANERA BREAD #171,-20.56
2025-09-22,WHOLE FOODS MARKET,-73.37
2025-09-22,WHOLE FOODS MARKET,-93.77
2025-09-22,TRADER JOES,-108.19
2025-09-22,SHELL GAS STATION,-54.92
2025-09-22,SHELL GAS STATION,-63.98
2025-09-22,CHEVRON FUEL,-60.06
2025-09-22,RESTAURANT CATERING SERVICE,-706.66
2025-09-23,PANERA BREAD #720,-20.08
2025-09-23,WHOLE FOODS MARKET,-116.88
2025-09-23,CVS PHARMACY,-38.22
2025-09-23,INSTACART,-57.61
2025-09-24,STARBUCKS #388,-9.44
2025-09-24,STARBUCKS #537,-11.7
2025-09-24,LOCAL DINER,-27.2
2025-09-25,DUNKIN DONUTS #785,-8.61
2025-09-25,TARGET STORE,-99.41
2025-09-25,CVS PHARMACY,-20.95
2025-09-27,MYSTERY SUBSCRIPTION,-2.69
2025-09-27,CHEVRON FUEL,-74.28
2025-09-28,CAR REPAIR SHOP,-344.78
2025-09-29,STARBUCKS #261,-10.66
2025-09-29,STARBUCKS #954,-11.67
2025-09-29,WHOLE FOODS MARKET,-112.09
2025-09-29,TARGET STORE,-113.13
2025-09-30,DIGITAL SERVICE FEE,-4.71
2025-09-30,STARBUCKS #833,-9.71
2025-09-30,STARBUCKS #109,-13.89
2025-09-30,DUNKIN DONUTS #266,-7.77
2025-09-30,WHOLE FOODS MARKET,-123.85
2025-10-01,DUNKIN DONUTS #466,-6.84
2025-10-01,CHIPOTLE MEXICAN #756,-21.66
2025-10-01,SHELL GAS STATION,-67.12
2025-10-02,DUNKIN DONUTS #522,-10.51
2025-10-02,PANERA BREAD #690,-18.2
2025-10-02,TARGET STORE,-117.19
2025-10-03,LANDLORD PAYMENT - RENT,-2025.0
2025-10-03,PROPERTY MANAGEMENT FEE,-101.25
2025-10-03,PAYCHECK - DIRECT DEPOSIT,3200
2025-10-03,STARBUCKS #677,-10.79
2025-10-03,TARGET STORE,-79.91
2025-10-04,TARGET STORE,-113.13
2025-10-04,CVS PHARMACY,-58.13
2025-10-04,BOWLING ALLEY,-85.9
2025-10-05,DUNKIN DONUTS #677,-13.76
2025-10-05,CHIPOTLE MEXICAN #970,-36.88
2025-10-05,TARGET STORE,-73.76
2025-10-05,DOORDASH ORDER,-127.2
2025-10-06,STARBUCKS #151,-11.19
2025-10-06,TACO BELL,-43.51
2025-10-07,NETFLIX SUBSCRIPTION,-21.59
2025-10-07,SPOTIFY PREMIUM,-13.49
2025-10-07,CHEVRON FUEL,-54.38
2025-10-08,STARBUCKS #129,-11.04
2025-10-08,TRADER JOES,-93.95
2025-10-08,CHEVRON FUEL,-60.14
2025-10-09,GYM MEMBERSHIP,-67.49
2025-10-09,STARBUCKS #565,-10.41
2025-10-09,STARBUCKS #119,-9.03
2025-10-09,STARBUCKS #767,-8.95
2025-10-09,PANERA BREAD #724,-21.51
2025-10-09,WHOLE FOODS MARKET,-101.9
2025-10-10,DISNEY+ STREAMING,-10.79
2025-10-10,STARBUCKS #531,-13.96
2025-10-10,PANERA BREAD #950,-25.19
2025-10-10,CHEVRON FUEL,-56.71
2025-10-11,TRADER JOES,-86.51
2025-10-11,SHELL GAS STATION,-53.47
2025-10-12,HULU SUBSCRIPTION,-20.24
2025-10-12,STARBUCKS #488,-18.05
2025-10-13,PANERA BREAD #386,-19.55
2025-10-13,SHELL GAS STATION,-59.49
2025-10-14,AMAZON PRIME MEMBERSHIP,-28.48
2025-10-14,UNKNOWN APP PURCHASE,-4.04
2025-10-14,STARBUCKS #917,-12.37
2025-10-14,CHIPOTLE MEXICAN #177,-25.8
2025-10-15,STARBUCKS #659,-12.81
2025-10-15,STARBUCKS #578,-9.5
2025-10-15,CHIPOTLE MEXICAN #543,-23.65
2025-10-15,TRADER JOES,-97.61
2025-10-16,CHIPOTLE MEXICAN #280,-20.44
2025-10-16,PANERA BREAD #706,-24.95
2025-10-16,WHOLE FOODS MARKET,-62.49
2025-10-16,CVS PHARMACY,-24.41
2025-10-16,MARSHALLS,-106.48
2025-10-16,PARKING GARAGE,-35.92
2025-10-17,ELECTRIC COMPANY - MONTHLY,-189.7
2025-10-17,GAS UTILITY BILL,-92.06
2025-10-17,PAYCHECK - DIRECT DEPOSIT,3200
2025-10-17,STARBUCKS #405,-13.93
2025-10-17,CHIPOTLE MEXICAN #969,-22.25
2025-10-17,WHOLE FOODS MARKET,-132.83
2025-10-17,TRADER JOES,-83.09
2025-10-17,CHEVRON FUEL,-73.56
2025-10-17,CVS PHARMACY,-52.83
2025-10-18,CHIPOTLE MEXICAN #170,-35.4
2025-10-18,PANERA BREAD #295,-30.82
2025-10-18,WHOLE FOODS MARKET,-85.08
2025-10-19,DUNKIN DONUTS #689,-15.48
2025-10-19,CHIPOTLE MEXICAN #348,-37.64
2025-10-19,KROGER SUPERMARKET,-78.7
2025-10-19,DESIGNER CLOTHING STORE,-525.15
2025-10-20,INTERNET SERVICE PROVIDER,-107.99
2025-10-20,PARKING GARAGE,-13.5
2025-10-20,METRO TRANSIT,-32.54
2025-10-20,MARSHALLS,-84.42
2025-10-21,STEAKHOUSE DINNER,-200.48
2025-10-22,WATER & SEWER UTILITY,-49.82
2025-10-22,APP STORE CHARGE,-6.74
2025-10-22,STARBUCKS #538,-9.03
2025-10-22,CHIPOTLE MEXICAN #915,-26.66
2025-10-22,PANERA BREAD #606,-20.29
2025-10-22,SHELL GAS STATION,-52.42
2025-10-23,SHELL GAS STATION,-55.77
2025-10-24,STARBUCKS #955,-13.41
2025-10-24,STARBUCKS #458,-8.85
2025-10-24,DUNKIN DONUTS #304,-11.15
2025-10-24,CHIPOTLE MEXICAN #376,-28.18
2025-10-24,SHELL GAS STATION,-72.93
2025-10-24,TARGET STORE,-59.2
2025-10-25,DUNKIN DONUTS #721,-10.43
2025-10-25,ROSS STORE,-74.33
2025-10-26,STARBUCKS #599,-19.13
2025-10-26,PANERA BREAD #595,-31.1
2025-10-27,MYSTERY SUBSCRIPTION,-2.69
2025-10-27,DUNKIN DONUTS #344,-9.59
2025-10-27,DUNKIN DONUTS #210,-11.23
2025-10-28,STARBUCKS #489,-12.92
2025-10-28,PANERA BREAD #317,-18.83
2025-10-29,PANERA BREAD #382,-23.77
2025-10-30,DIGITAL SERVICE FEE,-4.71
2025-10-30,STARBUCKS #646,-14.14
2025-10-30,PANERA BREAD #561,-19.74
2025-10-30,TARGET STORE,-120.21
2025-10-31,DUNKIN DONUTS #362,-8.85
2025-10-31,DUNKIN DONUTS #896,-10.07
2025-10-31,CHIPOTLE MEXICAN #948,-25.04
2025-11-01,CHIPOTLE MEXICAN #455,-37.01
2025-11-01,CHEVRON FUEL,-68.16
2025-11-02,LANDLORD PAYMENT - RENT,-2025.0
2025-11-02,PROPERTY MANAGEMENT FEE,-101.25
2025-11-02,PAYCHECK - DIRECT DEPOSIT,3200
2025-11-02,TRADER JOES,-51.87
2025-11-02,SHELL GAS STATION,-56.01
2025-11-03,STARBUCKS #370,-9.88
2025-11-03,CHIPOTLE MEXICAN #974,-26.33
2025-11-03,PANERA BREAD #822,-24.17
2025-11-03,PANERA BREAD #371,-24.53
2025-11-03,WHOLE FOODS MARKET,-94.01
2025-11-03,SHELL GAS STATION,-56.93
2025-11-04,STARBUCKS #956,-14.04
2025-11-04,STARBUCKS #521,-9.46
2025-11-04,STARBUCKS #218,-9.99
2025-11-04,DOMINOS PIZZA,-50.29
2025-11-06,NETFLIX SUBSCRIPTION,-21.59
2025-11-06,SPOTIFY PREMIUM,-13.49
2025-11-06,STARBUCKS #750,-11.89
2025-11-06,SHELL GAS STATION,-55.34
2025-11-06,CHEVRON FUEL,-56.13
2025-11-08,GYM MEMBERSHIP,-67.49
2025-11-08,CHEVRON FUEL,-78.65
2025-11-08,TARGET STORE,-168.3
2025-11-08,SPA AND WELLNESS CENTER,-236.25
2025-11-09,DISNEY+ STREAMING,-10.79
2025-11-09,CHIPOTLE MEXICAN #843,-26.64
2025-11-09,EMERGENCY ROOM VISIT,-2497.5
2025-11-10,DUNKIN DONUTS #525,-9.99
2025-11-10,CHIPOTLE MEXICAN #775,-24.57
2025-11-10,METRO TRANSIT,-23.88
2025-11-11,HULU SUBSCRIPTION,-20.24
2025-11-12,STARBUCKS #786,-10.45
2025-11-12,DUNKIN DONUTS #740,-10.24
2025-11-12,UBER EATS,-57.34
2025-11-13,AMAZON PRIME MEMBERSHIP,-28.48
2025-11-13,UNKNOWN APP PURCHASE,-4.04
2025-11-14,CHIPOTLE MEXICAN #619,-27.87
2025-11-14,PANERA BREAD #258,-23.31
2025-11-14,TRADER JOES,-53.89
2025-11-14,SHELL GAS STATION,-53.84
2025-11-14,SHELL GAS STATION,-65.66
2025-11-15,STARBUCKS #512,-14.4
2025-11-15,STARBUCKS #542,-16.74
2025-11-15,STARBUCKS #384,-17.18
2025-11-15,DUNKIN DONUTS #630,-9.67
2025-11-15,DUNKIN DONUTS #373,-9.65
2025-11-15,TARGET STORE,-172.92
2025-11-15,CVS PHARMACY,-31.59
2025-11-15,MOVIE THEATER,-76.87
2025-11-16,ELECTRIC COMPANY - MONTHLY,-206.17
2025-11-16,GAS UTILITY BILL,-99.2
2025-11-16,PAYCHECK - DIRECT DEPOSIT,3200
2025-11-16,CHIPOTLE MEXICAN #984,-38.3
2025-11-16,CHIPOTLE MEXICAN #651,-28.58
2025-11-16,CHIPOTLE MEXICAN #881,-31.03
2025-11-16,PANERA BREAD #614,-24.43
2025-11-17,STARBUCKS #372,-12.24
2025-11-17,DUNKIN DONUTS #548,-11.06
2025-11-17,DUNKIN DONUTS #961,-7.09
2025-11-17,CHIPOTLE MEXICAN #713,-22.65
2025-11-17,CHIPOTLE MEXICAN #429,-23.33
2025-11-18,STARBUCKS #227,-10.2
2025-11-18,STARBUCKS #279,-12.9
2025-11-18,CHIPOTLE MEXICAN #894,-21.22
2025-11-18,CVS PHARMACY,-44.66
2025-11-19,INTERNET SERVICE PROVIDER,-107.99
2025-11-19,WHOLE FOODS MARKET,-100.99
2025-11-20,DUNKIN DONUTS #833,-7.37
2025-11-20,TRADER JOES,-109.42
2025-11-20,TRADER JOES,-106.15
2025-11-21,WATER & SEWER UTILITY,-66.62
2025-11-21,APP STORE CHARGE,-6.74
2025-11-21,STARBUCKS #510,-10.18
2025-11-21,WHOLE FOODS MARKET,-114.78
2025-11-21,CVS PHARMACY,-23.23
2025-11-21,BOWLING ALLEY,-81.59
2025-11-22,DUNKIN DONUTS #114,-11.38
2025-11-23,STARBUCKS #126,-16.8
2025-11-23,MOVIE THEATER,-148.9
2025-11-24,STARBUCKS #777,-12.12
2025-11-25,STARBUCKS #217,-9.67
2025-11-25,STARBUCKS #944,-11.95
2025-11-25,STARBUCKS #581,-14.08
2025-11-25,STARBUCKS #565,-11.69
2025-11-25,PANERA BREAD #255,-23.29
2025-11-26,MYSTERY SUBSCRIPTION,-2.69
2025-11-26,STARBUCKS #269,-8.95
2025-11-26,STARBUCKS #990,-8.55
2025-11-26,DUNKIN DONUTS #349,-11.3
2025-11-26,ARCADE CENTER,-30.38
2025-11-27,STARBUCKS #121,-11.89
2025-11-27,TOLL ROAD,-19.91
2025-11-27,PARKING METER,-11.1
2025-11-28,DUNKIN DONUTS #129,-8.95
2025-11-28,CHIPOTLE MEXICAN #344,-28.31
2025-11-28,PANERA BREAD #638,-21.28
2025-11-28,WHOLE FOODS MARKET,-110.16
2025-11-28,CHEVRON FUEL,-70.73
2025-11-28,TARGET STORE,-100.55
2025-11-28,BOWLING ALLEY,-82.21
2025-11-29,DIGITAL SERVICE FEE,-4.71
2025-11-29,STARBUCKS #605,-15.96
2025-11-29,DUNKIN DONUTS #220,-12.39
2025-11-29,PANERA BREAD #779,-29.01
2025-11-29,PANERA BREAD #247,-24.15
2025-11-30,STARBUCKS #626,-15.2
2025-11-30,PANERA BREAD #202,-28.35
2025-11-30,WHOLE FOODS MARKET,-124.21
2025-12-01,STARBUCKS #375,-12.39
2025-12-01,DUNKIN DONUTS #345,-9.54
2025-12-01,TRADER JOES,-97.66
2025-12-02,LANDLORD PAYMENT - RENT,-2025.0
2025-12-02,PROPERTY MANAGEMENT FEE,-101.25
2025-12-02,PAYCHECK - DIRECT DEPOSIT,3200
2025-12-02,DUNKIN DONUTS #554,-8.42
2025-12-02,PANERA BREAD #229,-19.63
2025-12-03,CHIPOTLE MEXICAN #228,-22.17
2025-12-03,PANERA BREAD #470,-21.36
2025-12-03,TRADER JOES,-65.81
2025-12-03,THAI KITCHEN,-41.72
2025-12-04,STARBUCKS #370,-10.79
2025-12-04,DUNKIN DONUTS #657,-9.9
2025-12-04,SHELL GAS STATION,-64.92
2025-12-04,TARGET STORE,-131.73
2025-12-05,STARBUCKS #474,-11.63
2025-12-05,STARBUCKS #980,-14.06
2025-12-05,CHIPOTLE MEXICAN #102,-27.55
2025-12-06,NETFLIX SUBSCRIPTION,-21.59
2025-12-06,SPOTIFY PREMIUM,-13.49
2025-12-06,STARBUCKS #593,-19.27
2025-12-06,GRUBHUB DELIVERY,-63.25
2025-12-07,STARBUCKS #943,-12.48
2025-12-07,PANERA BREAD #844,-32.13
2025-12-07,AUTO PARTS AND SERVICE,-600.75
2025-12-08,GYM MEMBERSHIP,-67.49
2025-12-08,STARBUCKS #497,-11.61
2025-12-08,CHEVRON FUEL,-79.74
2025-12-09,DISNEY+ STREAMING,-10.79
2025-12-09,CHIPOTLE MEXICAN #233,-28.35
2025-12-10,STARBUCKS #199,-11.36
2025-12-10,PANERA BREAD #131,-23.22
2025-12-10,SHELL GAS STATION,-60.9
2025-12-10,CHEVRON FUEL,-62.44
2025-12-11,HULU SUBSCRIPTION,-20.24
2025-12-11,STARBUCKS #305,-10.92
2025-12-11,STARBUCKS #177,-9.21
2025-12-11,TRADER JOES,-114.39
2025-12-12,SPROUTS MARKET,-86.44
2025-12-13,AMAZON PRIME MEMBERSHIP,-28.48
2025-12-13,UNKNOWN APP PURCHASE,-4.04
2025-12-14,STARBUCKS #138,-13.09
2025-12-14,DUNKIN DONUTS #225,-10.56
2025-12-14,WHOLE FOODS MARKET,-71.69
2025-12-14,SHELL GAS STATION,-68.66
2025-12-14,CHEVRON FUEL,-73.7
2025-12-14,CVS PHARMACY,-57.0
2025-12-14,JEWELRY STORE PURCHASE,-1753.65
2025-12-15,STARBUCKS #764,-12.54
2025-12-15,STARBUCKS #860,-12.37
2025-12-15,DUNKIN DONUTS #471,-7.77
2025-12-16,ELECTRIC COMPANY - MONTHLY,-154.48
2025-12-16,GAS UTILITY BILL,-75.21
2025-12-16,PAYCHECK - DIRECT DEPOSIT,3200
2025-12-16,DUNKIN DONUTS #386,-8.59
2025-12-16,PANERA BREAD #615,-18.14
2025-12-17,STARBUCKS #950,-13.76
2025-12-17,STARBUCKS #788,-11.13
2025-12-17,CHIPOTLE MEXICAN #212,-26.58
2025-12-17,SUBWAY SANDWICH,-39.79
2025-12-17,MOVIE THEATER,-43.62
2025-12-19,INTERNET SERVICE PROVIDER,-107.99
2025-12-20,TRADER JOES,-84.27
2025-12-20,TJ MAXX,-98.48
2025-12-20,TJ MAXX,-183.79
2025-12-21,WATER & SEWER UTILITY,-71.82
2025-12-21,APP STORE CHARGE,-6.74
2025-12-21,STARBUCKS #506,-17.35
2025-12-21,STARBUCKS #734,-15.73
2025-12-21,DUNKIN DONUTS #711,-13.59
2025-12-21,CHIPOTLE MEXICAN #115,-26.94
2025-12-21,CHEVRON FUEL,-66.81
2025-12-21,CVS PHARMACY,-34.51
2025-12-22,STARBUCKS #701,-11.63
2025-12-22,WHOLE FOODS MARKET,-105.66
2025-12-22,DOORDASH ORDER,-37.07
2025-12-23,STARBUCKS #490,-10.05
2025-12-23,PANERA BREAD #863,-22.1
2025-12-24,CHIPOTLE MEXICAN #949,-20.96
2025-12-24,CHIPOTLE MEXICAN #321,-20.98
2025-12-24,PANERA BREAD #633,-25.33
2025-12-25,CHIPOTLE MEXICAN #892,-21.2
2025-12-25,PANERA BREAD #431,-19.36
2025-12-25,TARGET STORE,-110.92
2025-12-25,SPROUTS MARKET,-84.13
2025-12-26,MYSTERY SUBSCRIPTION,-2.69
2025-12-26,STARBUCKS #210,-13.91
2025-12-26,TARGET STORE,-58.12
2025-12-26,PUBLIX SUPER,-115.28
2025-12-27,SHELL GAS STATION,-58.86
2025-12-28,STARBUCKS #724,-16.45
2025-12-28,DUNKIN DONUTS #953,-13.66
2025-12-28,DUNKIN DONUTS #162,-13.6
2025-12-28,WHOLE FOODS MARKET,-93.37
2025-12-28,SHELL GAS STATION,-62.14
2025-12-28,SHELL GAS STATION,-58.43
2025-12-28,CVS PHARMACY,-58.13
2025-12-29,DIGITAL SERVICE FEE,-4.71
2025-12-30,STARBUCKS #991,-10.24
2025-12-30,STARBUCKS #474,-13.13
2025-12-30,DUNKIN DONUTS #193,-10.56
2025-12-30,CVS PHARMACY,-41.23
2025-12-31,WHOLE FOODS MARKET,-146.54
2026-01-01,LANDLORD PAYMENT - RENT,-2025.0
2026-01-01,PROPERTY MANAGEMENT FEE,-101.25
2026-01-01,PAYCHECK - DIRECT DEPOSIT,3200
2026-01-01,STARBUCKS #920,-10.39
2026-01-01,PANERA BREAD #393,-20.6
2026-01-02,STARBUCKS #534,-11.08
2026-01-02,STARBUCKS #713,-10.81
2026-01-02,STARBUCKS #316,-9.71
2026-01-02,DUNKIN DONUTS #863,-10.79
2026-01-02,DUNKIN DONUTS #643,-9.65
2026-01-02,PANERA BREAD #975,-25.31
2026-01-02,TARGET STORE,-143.77
2026-01-02,WALMART STORE,-177.14
2026-01-03,PANERA BREAD #493,-31.84
2026-01-03,CHEVRON FUEL,-72.1
2026-01-03,TARGET STORE,-189.52
2026-01-04,STARBUCKS #790,-16.89
2026-01-04,TRADER JOES,-52.76
2026-01-04,SHELL GAS STATION,-56.7
2026-01-04,CVS PHARMACY,-32.98
2026-01-05,NETFLIX SUBSCRIPTION,-21.59
2026-01-05,SPOTIFY PREMIUM,-13.49
2026-01-05,CHIPOTLE MEXICAN #605,-26.33
2026-01-05,WHOLE FOODS MARKET,-85.83
2026-01-05,CVS PHARMACY,-53.23
2026-01-05,TJ MAXX,-101.63
2026-01-06,STARBUCKS #453,-11.48
2026-01-07,GYM MEMBERSHIP,-67.49
2026-01-07,DUNKIN DONUTS #636,-9.44
2026-01-07,DUNKIN DONUTS #256,-7.47
2026-01-07,TRADER JOES,-104.73
2026-01-07,TARGET STORE,-63.17
2026-01-07,MINI GOLF,-34.47
2026-01-07,THAI KITCHEN,-15.85
2026-01-08,DISNEY+ STREAMING,-10.79
2026-01-08,PUBLIX SUPER,-108.45
